"","Community","who_occupies","zip_code","latitude","longitude","count_vacant"
"202","Avalon Park",TRUE,"60617","41.74334518498999","-87.5807027336356",4
"203","New City",TRUE,"60609","41.79480040006168","-87.67432671420538",10
"204","Washington Park",TRUE,"60621","41.79375465887993","-87.62778762108353",5
"205","West Englewood",TRUE,"60636","41.764819200543265","-87.67240885768618",35
"206","Near West Side",TRUE,"60612","41.88210886784532","-87.68455721613913",2
"207","South Chicago",TRUE,"60617","41.742071835231606","-87.55394348627266",13
"208","Englewood",TRUE,"60621","41.78318565772006","-87.64973327183938",19
"209","Chicago Lawn",TRUE,"60629","41.77317083191392","-87.68714400414584",13
"210","Belmont Cragin",TRUE,"60634","41.93603904510888","-87.77613231211654",6
"211","Calumet Heights",TRUE,"60619","41.72708042690636","-87.58669619870983",5
"212","Humboldt Park",TRUE,"60624","41.88993845882964","-87.71740307148036",13
"213","Austin",TRUE,"60644","41.88448186406106","-87.74296575833974",18
"214","West Englewood",TRUE,"60636","41.78259367393316","-87.6618600431145",35
"215","Douglas",TRUE,"60653","41.82648083652437","-87.62416371927137",3
"216","Englewood",TRUE,"60621","41.7810962958538","-87.65332609154133",19
"217","West Garfield Park",TRUE,"60624","41.8699861366648","-87.7286138799606",6
"218","West Englewood",TRUE,"60636","41.79378061290276","-87.65611652429936",35
"219","South Chicago",TRUE,"60617","41.746353066983254","-87.55522182229039",13
"220","Washington Park",TRUE,"60615","41.79903517044338","-87.62094735330975",5
"221","Lower West Side",TRUE,"60608","41.85305792335206","-87.67841736201505",2
"222","Greater Grand Crossing",TRUE,"60619","41.75101489982574","-87.62092811515693",12
"223","Rogers Park",TRUE,"60626","42.00373433771483","-87.66933770831086",2
"224","West Pullman",TRUE,"60628","41.675196458034556","-87.63821156840163",20
"225","Englewood",TRUE,"60621","41.771834188635275","-87.65065355636094",19
"226","South Chicago",TRUE,"60617","41.7463898425693","-87.55522211111285",13
"227","Morgan Park",TRUE,"60643","41.68669886762705","-87.66346769232344",4
"228","Auburn Gresham",TRUE,"60620","41.73872613429917","-87.64977346248358",26
"229","West Elsdon",TRUE,"60629","41.790239071558226","-87.73042774199064",1
"230","Humboldt Park",TRUE,"60651","41.89618161197003","-87.7273399933083",13
"231","Logan Square",TRUE,"60647","41.914761686386754","-87.70519557087425",2
"232","Fuller Park",TRUE,"60609","41.799782136397674","-87.63313262133371",1
"233","West Englewood",TRUE,"60636","41.781153796310456","-87.67031715043585",35
"234","Forest Glen",TRUE,"60646","41.99454117037937","-87.7544770421233",1
"235","Chatham",TRUE,"60619","41.733918711608716","-87.60436987541719",8
"236","New City",TRUE,"60609","41.793889898978954","-87.67678853964196",10
"237","Calumet Heights",TRUE,"60617","41.72937410655975","-87.56580034139843",5
"238","Auburn Gresham",TRUE,"60620","41.74477479557406","-87.65115268295786",26
"239","Brighton Park",TRUE,"60632","41.818234649910146","-87.68839174379005",3
"240","Beverly",TRUE,"60643","41.70665007614067","-87.66520548444026",4
"241","Austin",TRUE,"60644","41.892246077661326","-87.74831187760863",18
"242","Brighton Park",TRUE,"60632","41.818234649910146","-87.68839174379005",3
"243","Belmont Cragin",TRUE,"60641","41.93515908689571","-87.76269882667683",6
"244","Auburn Gresham",TRUE,"60620","41.74702854934759","-87.64082001635018",26
"245","South Chicago",TRUE,"60617","41.7314161029855","-87.54853073020962",13
"246","Belmont Cragin",TRUE,"60634","41.9348263860782","-87.77609061637051",6
"247","West Englewood",TRUE,"60636","41.78645732847161","-87.66560069792992",35
"248","Austin",TRUE,"60639","41.910488722087464","-87.7502319685561",18
"249","Englewood",TRUE,"60621","41.775982630451196","-87.64711919469107",19
"250","Chicago Lawn",TRUE,"60636","41.77825775983176","-87.68105457201011",13
"251","North Lawndale",TRUE,"60623","41.86283519810993","-87.71667215666292",13
"252","Woodlawn",TRUE,"60637","41.77628098472022","-87.61312403602281",4
"253","South Chicago",TRUE,"60617","41.74779249928495","-87.54918252846416",13
"254","New City",TRUE,"60609","41.806798359642215","-87.6637012181879",10
"255","West Pullman",TRUE,"60643","41.6786985485645","-87.6602068532646",20
