"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"145","Grand Boulevard",38,"Multifamily",60615,8,1181237.493,1871959.196,41.80389906,-87.6108319,"(41.8038990622584, -87.6108319018369)"
"146","Near North Side",8,"Supportive Housing",60622,40,1170359.454,1908979.929,41.905731,-87.64964597,"(41.9057310022859, -87.6496459663701)"
"147","Washington Park",40,"Artist/Family",60637,49,1178058.043,1868394.472,41.79418988,-87.62260056,"(41.79418987604286, -87.62260056397874)"
"148","Portage Park",15,"ARO",60634,2,1133012.825,1926100.104,41.95344562,-87.78643375,"(41.9534456208497, -87.7864337467324)"
"149","Rogers Park",1,"Senior",60626,44,1165843.898,1946058.513,42.00757377,-87.66517114,"(42.0075737709331, -87.6651711448293)"
"150","North Lawndale",29,"Multifamily",60608,5,1158801.298,1894249.272,41.86555368,-87.69250717,"(41.86555367636, -87.6925071702978)"
"151","Uptown",3,"Supportive Housing",60640,100,1168689.933,1933461.587,41.97294612,-87.65506712,"(41.9729461220532, -87.6550671246698)"
"152","West Ridge",2,"Senior",60659,117,1156512.51,1940837.411,41.99344157,-87.69964542,"(41.9934415657216, -87.699645424939)"
"153","Near South Side",33,"Multifamily",60616,176,1175862.866,1890322.361,41.8544114,-87.62999188,"(41.8544114000898, -87.6299918763962)"
"154","Humboldt Park",23,"Supportive/Males 18-24yrs.",60647,35,1152641.115,1910367.063,41.9099065,-87.71469504,"(41.9099064976123, -87.7146950393782)"
"155","Dunning",17,"Senior",60634,129,1129981.018,1927628.484,41.95769221,-87.79754403,"(41.9576922114684, -87.79754403338)"
"156","Lake View",6,"ARO",60657,2,1171456.757,1921446.689,41.93991631,-87.64524776,"(41.9399163094736, -87.6452477578847)"
"157","East Garfield Park",27,"Multifamily",60624,36,1153024.162,1898153.842,41.87638462,-87.71361194,"(41.87638462364, -87.7136119355645)"
"158","Rogers Park",1,"Senior",60626,57,1163640.709,1949531.171,42.01714971,-87.67317857,"(42.0171497110557, -87.6731785733257)"
"159","Lake View",6,"ARO",60657,2,1169778.211,1921699.272,41.94064621,-87.65140951,"(41.9406462132724, -87.6514095081283)"
"160","North Lawndale",29,"Multifamily",60608,31,1158521.517,1894293.849,41.86568173,-87.69353304,"(41.8656817278004, -87.6935330427604)"
"161","Near South Side",33,"Senior",60616,151,1176346.441,1889816.861,41.85301339,-87.62823221,"(41.8530133902049, -87.6282322110359)"
